timestamp_ms,S0_uW,S1,S2,S3,DOP
0,225.4767,138.0701,-111.2727,123.0313,0.9811
100,221.9083,138.6520,-112.9729,123.7163,0.9803
201,225.5208,138.7431,-112.6634,123.8820,0.9597
301,225.3403,138.8833,-112.6560,123.1385,0.9781
401,225.0912,138.6036,-112.6909,123.8952,0.9726
501,223.1124,138.6283,-112.9305,123.9283,0.9803
601,225.4673,138.6407,-112.2092,123.8699,0.9742
702,224.2364,137.2586,-112.2285,123.8413,0.9805
803,222.0320,137.4792,-112.3725,123.6593,0.9801
903,224.4881,137.3280,-112.4230,123.7263,0.9762
1003,220.3956,138.7844,-112.9406,123.9914,0.9613
1103,222.1647,137.3797,-112.7005,123.7720,0.9812
1203,221.3562,138.7396,-112.9003,123.8431,0.9755
1303,224.6153,138.6789,-112.0306,123.7766,0.9669
1403,224.3613,138.7118,-112.7249,123.8737,0.9706
1503,222.4333,138.7484,-112.0832,123.7199,0.9792
1603,224.1510,137.4160,-112.9848,123.6153,0.9599
1703,224.6393,137.3241,-112.4731,123.5483,0.9670
1803,221.3800,137.3044,-113.5097,123.6550,0.9671
1903,224.1521,138.5612,-112.4582,123.8526,0.9761
2003,223.9989,138.5301,-112.3484,123.7786,0.9701
2104,224.8059,137.1180,-112.0909,122.3118,0.9777
2204,224.1164,137.1076,-112.4619,122.3301,0.9627
2304,224.4863,137.9066,-112.3873,123.8346,0.9712
2404,223.6851,137.3341,-112.3826,123.6544,0.9798
2504,222.8614,137.8860,-113.5382,123.8065,0.9684
2605,222.9839,137.8376,-112.3066,123.7789,0.9691
2706,221.8827,137.1304,-113.5306,123.7009,0.9638
2806,222.1181,137.2144,-113.8481,123.9443,0.9674
2906,222.6651,137.8216,-113.8184,123.8214,0.9721
3006,222.2518,137.1968,-113.9296,123.5060,0.9809
3107,221.4242,137.0496,-113.7782,123.8577,0.9769
3208,221.5220,137.0408,-113.7414,123.6145,0.9736
3309,223.4765,137.2066,-112.4569,123.7155,0.9757
3410,223.0076,137.1561,-112.4803,123.6842,0.9790
3510,221.0972,137.1347,-113.7604,123.5141,0.9680
3611,221.0450,137.1093,-113.6964,122.4127,0.9674
3711,222.7279,137.7087,-113.7916,123.7014,0.9689
3812,224.0285,137.0763,-113.6303,123.6328,0.9789
3913,224.8066,137.9850,-113.8567,122.4981,0.9797
4014,224.4564,137.0510,-113.6839,122.4545,0.9674
4114,221.6001,137.8431,-113.7561,123.6783,0.9768
4215,221.6982,137.9036,-113.7257,123.6665,0.9802
4316,223.0888,137.5906,-113.8534,123.7832,0.9727
4417,225.0003,137.8749,-113.5815,123.6302,0.9780
4517,224.2505,137.1047,-113.8974,123.7598,0.9731
4618,223.5437,137.9200,-113.8116,123.9109,0.9737
4719,222.9526,137.8761,-113.9055,123.7236,0.9651
4819,222.6107,137.9305,-113.6869,123.6346,0.9754
4920,222.7711,137.8797,-113.8276,123.6707,0.9676
5020,223.7333,137.8212,-113.9199,123.6859,0.9736
5120,224.2029,137.9723,-113.6331,123.6000,0.9811
5221,224.1384,137.8015,-113.6169,123.7921,0.9653
5322,224.3757,137.8872,-113.7179,123.6730,0.9694
5422,223.2998,137.8422,-112.4150,123.7119,0.9699
5522,222.4473,137.0332,-113.7297,123.7165,0.9665
5622,221.2621,137.7732,-112.4450,123.7448,0.9665
5722,221.3365,137.7869,-113.8861,122.4470,0.9676
5822,224.0272,137.9362,-112.4705,123.5910,0.9677
5923,222.4992,137.6772,-113.6812,123.6861,0.9701
6023,224.5903,137.6371,-112.4849,123.0681,0.9736
6123,222.4797,137.6133,-113.6783,122.4962,0.9778
6223,221.3716,137.8796,-113.7516,123.6553,0.9695
6323,221.7952,137.7018,-113.9903,123.6540,0.9656
6424,222.4965,137.8177,-113.7999,123.7592,0.9677
6524,223.9671,137.6520,-112.4393,123.1422,0.9729
6624,222.2112,137.0442,-113.0953,123.7820,0.9742
6724,223.7634,137.8585,-113.8289,123.5110,0.9647
6824,223.2149,137.8816,-113.3489,123.5896,0.9685
6924,222.2844,136.3496,-113.7596,123.0000,0.9684
7024,223.0171,139.1569,-110.6547,123.5048,0.9684
7124,223.6201,120.6178,-113.3882,139.0903,0.9674
7224,223.7931,76.7927,-97.5202,176.9151,0.9626
7324,222.4964,48.3154,-98.9464,185.1207,0.9699
